false	false/misleading
misleading	false/misleading
partly false	false/misleading
mostly false	false/misleading
no evidence	no evidence
explanatory	other
partially false	false/misleading
mostly true	true
half true	false/misleading
(org. doesn't apply rating)	other
fake	false/misleading
misleading/false	false/misleading
partly true	false/misleading
two pinocchios	false/misleading
correct	true
missing context	false/misleading
not true	false/misleading
partially true	false/misleading
suspicions	no evidence
unproven	no evidence
no label	other
fake news	false/misleading
false and misleading	false/misleading
in dispute	other
misinformation / conspiracy theory	false/misleading
mixed	false/misleading
partially correct	false/misleading
true but	other
unlikely	no evidence
mainly false	false/misleading
false context	false/misleading
half truth	false/misleading
mainly correct	true
inaccurate	false/misleading
misl	false/misleading
unsupported	other
unverified	no evidence
pants-fire	false/misleading
barely-true	false/misleading
half-true	false/misleading
mostly-true	true
true	true
labeled satire	other
miscaptioned	other
mixture	false/misleading
correct attribution	other
other	other
outdated	other
scam	false/misleading
falso	false/misleading
not parsable	other
distorcido	false/misleading